word1	word2	anc1	anc2	fsg	bsg	con1	con2	nphon1	nphon2	easiness	index
unhappy	sad	5.517	7.2	0.738	0.051	3.28	3.52	6	3	12.552	67823
sail	boat	4.875	6.764	0.589	0.134	5.55	6.33	3	3	12.344	54300
breeze	wind	4.852	6.888	0.606	0.122	5.94	5.4	4	4	12.299	7380
oxygen	air	6.238	8.412	0.455	0.142	5.43	5.67	7	2	12.266	44252
donor	blood	5.878	8.186	0.524	0.067	4	6.55	4	4	12.262	19328
hands	feet	7.55	7.518	0.396	0.095	6.03	6.28	5	3	12.16	29380
chef	cook	4.963	6.779	0.622	0.047	6.41	4.91	3	3	12.098	10576
bull	cow	5.762	6.023	0.558	0.097	6.4	6.12	3	2	12.098	7936
thick	thin	6.301	6.368	0.682	0.084	3.77	3.82	3	3	12.098	64782
intelligent	smart	5.684	6.854	0.711	0.195	3	3	10	5	12.058	33214
skeleton	bone	4.22	6.669	0.634	0.054	6.43	5.75	8	3	12.049	57690
cat	mouse	7.508	7.535	0.256	0.543	6.21	6.12	3	3	11.992	9636
taxi	cab	5.298	5.037	0.537	0.386	6.28	6.32	5	3	11.972	63925
rifle	gun	5.106	7.377	0.545	0.06	6.04	6.08	5	3	11.919	53104
cents	dollars	6.492	7.881	0.411	0.287	5.25	5.68	5	5	11.796	9966
guardian	parent	5.67	6.723	0.536	0.063	5.97	6.18	7	6	11.71	28746
thin	fat	6.368	6.933	0.563	0.201	3.82	4.8	3	3	11.673	64837
doctor	nurse	7.196	5.805	0.379	0.547	5.75	5.48	5	3	11.593	19142
steps	stairs	7.257	5.687	0.526	0.146	4.91	5.54	5	5	11.558	61017
entrance	exit	6.402	5.927	0.615	0.101	4.92	4.25	7	5	11.437	21499
construct	build	6.194	7.329	0.607	0.128	3.41	3.93	9	4	11.361	13599
loose	tight	6.103	6.282	0.565	0.436	3.24	4.21	3	3	11.321	37093
enter	exit	6.644	5.927	0.568	0.388	3.15	4.25	4	5	11.303	21462
equation	math	6.353	6.368	0.647	0.012	4.45	3.78	7	3	11.238	21576
clean	dirty	7.142	6.34	0.527	0.288	3.82	4.08	4	4	11.106	11480
sit	stand	7.465	7.506	0.348	0.534	4.33	4.4	3	5	11.047	57593
print	write	6.54	7.694	0.49	0.156	4.64	4.42	5	3	10.985	49047
lemon	lime	5.591	4.92	0.429	0.573	5.98	6.69	5	3	10.976	35937
joke	laugh	6.609	6.509	0.612	0.055	3.48	4.29	3	3	10.852	34074
butter	bread	6.001	6.378	0.364	0.487	6.24	6.18	4	4	10.815	8392
dock	boat	4.927	6.764	0.559	0	5.77	6.33	3	3	10.775	19132
railroad	train	5.263	6.983	0.5	0.045	6.76	5.79	6	4	10.697	50732
envelope	letter	5.82	7.509	0.49	0.068	5.75	5.16	7	4	10.652	21520
judge	court	7.484	8.318	0.291	0.25	6.25	5.05	3	4	10.631	34137
cigarette	smoke	5.844	6.55	0.449	0.323	6.03	5.16	6	4	10.626	11209
brush	hair	5.442	7.737	0.44	0.207	5.66	5.7	4	3	10.608	7744
ballot	vote	5.645	7.757	0.518	0.051	6.29	3.85	5	3	10.576	4163
sheets	bed	5.652	7.283	0.476	0.031	5.46	6.59	4	3	10.53	56564
police	cop	7.885	6.256	0.22	0.534	6.69	6.36	5	3	10.514	47632
sing	song	6.223	7.421	0.456	0.291	4.12	5.04	3	3	10.48	57438
grass	green	6.441	7.775	0.364	0.25	5.93	5.46	4	4	10.45	28199
author	writer	7.442	7.191	0.324	0.263	6.04	5.63	3	4	10.442	3566
cow	milk	6.023	6.64	0.352	0.388	6.12	6.66	2	4	10.43	14548
tent	camp	5.659	7.383	0.459	0.126	5.79	5.69	4	4	10.427	64386
wet	dry	6.209	6.772	0.459	0.495	4.74	3.36	3	3	10.297	70598
pop	soda	7.191	5.288	0.432	0.439	3.85	5.96	3	4	10.285	47818
bloom	flower	5.366	5.841	0.593	0.03	5.28	5.62	4	4	10.277	6166
shop	store	6.979	7.484	0.391	0.177	5	5.44	3	4	10.17	56822
mountain	hill	6.922	7.316	0.265	0.428	6.25	6.02	6	3	10.15	40909
ice	cold	7.256	7.69	0.364	0.098	6.51	4.67	2	4	10.086	31910
bounce	ball	4.927	7.24	0.564	0.06	3.78	6.08	4	3	10.065	6871
lily	flower	4.477	5.841	0.601	0	6.53	5.62	4	4	10.042	36411
link	chain	7.358	7.051	0.4	0.106	4.8	5.85	4	3	10.041	36544
lens	glasses	5.489	5.886	0.553	0.02	5.52	6.02	4	6	9.96	36000
bell	ring	6.503	6.742	0.399	0.101	6.52	5.88	3	3	9.848	5258
inn	hotel	5.198	7.356	0.423	0.02	6.8	6.8	2	5	9.839	32838
push	pull	6.724	6.858	0.397	0.594	4.12	3.4	3	3	9.813	50216
train	track	6.983	7.124	0.327	0.173	5.79	6.59	4	4	9.741	66242
shoes	feet	6.644	7.518	0.329	0.108	6.63	6.28	3	3	9.732	56783
pub	beer	5.165	6.672	0.518	0	6.05	5.83	3	3	9.71	49869
