word1	word2	anc1	anc2	fsg	bsg	con1	con2	nphon1	nphon2	easiness	index
sight	eye	6.45	7.243	0.282	0.087	3.84	6.28	3	1	5.347	57220
smart	dumb	6.854	6.098	0.409	0.21	3	3.36	5	3	5.347	58280
mustache	beard	3.664	4.787	0.446	0.31	5.77	5.68	6	4	5.335	41303
painter	artist	5.278	6.596	0.204	0.437	6.59	5.65	5	6	5.314	44442
pair	two	7.106	5.112	0.456	0.034	3.73	3.79	3	2	5.305	44483
lung	breathe	7.006	5.043	0.362	0.049	5.65	4.78	3	4	5.28	37464
belt	pants	5.775	6.562	0.307	0.011	5.98	6.15	4	5	5.266	5308
minister	priest	7.265	5.768	0.25	0.028	5.75	6.59	7	5	5.236	39864
carriage	horse	4.466	6.486	0.365	0	6.71	6.03	5	4	5.234	9430
dove	bird	4.489	6.471	0.364	0.01	6.9	5.77	3	3	5.222	19499
steel	iron	6.36	6.615	0.224	0.258	5.82	5.47	4	3	5.184	60943
anchor	boat	5.182	6.764	0.325	0	5.91	6.33	4	3	5.165	1970
gem	diamond	4.205	5.501	0.448	0.011	5.65	6.21	3	6	5.113	26920
palace	castle	6.727	6.219	0.258	0.025	5.71	6.5	5	5	5.112	44511
eggs	bacon	6.38	5.226	0.176	0.517	5.79	6.46	3	5	5.096	20657
mist	fog	4.248	4.762	0.5	0.17	4.42	5.44	4	3	5.082	40115
miner	coal	3.401	5.704	0.5	0.051	5.47	5.48	4	3	5.071	39825
monk	priest	5.407	5.768	0.323	0	6.63	6.59	4	5	5.011	40475
rider	horse	4.86	6.486	0.372	0	5.55	6.03	4	4	4.993	53061
linen	sheets	3.689	5.652	0.481	0.028	5.75	5.46	5	4	4.961	36518
pub	bar	5.165	7.428	0.273	0.014	6.05	6.4	3	3	4.927	49870
divorce	marriage	6.107	7.019	0.331	0.198	4.23	3.94	6	5	4.907	19084
ceiling	floor	5.999	7.381	0.218	0.16	6.02	5.47	5	4	4.894	9822
blade	knife	4.868	5.979	0.346	0.122	5.8	6.08	4	3	4.892	5874
pie	apple	6.24	6.252	0.228	0.074	6.09	7	2	4	4.842	46386
couch	chair	5.407	6.567	0.288	0.109	5.74	6.12	3	3	4.788	14297
collar	shirt	4.727	6.5	0.342	0.032	6.09	6.05	4	3	4.768	12246
lip	kiss	5.017	6.001	0.315	0.135	6.5	5.78	3	3	4.75	36584
separate	divide	7.462	5.881	0.382	0.103	3.38	3.36	6	5	4.719	56029
paint	brush	6.489	5.442	0.327	0.011	5.73	5.66	4	4	4.716	44426
stitch	sew	5.011	4.489	0.521	0.039	4.87	4.33	4	2	4.709	61280
throw	ball	6.964	7.24	0.234	0.071	4.05	6.08	3	3	4.697	65101
pumpkin	pie	4.554	6.24	0.35	0.027	6.42	6.09	7	2	4.674	50041
venom	snake	4.205	5.328	0.446	0.012	5.13	6.48	5	4	4.653	68860
hop	jump	4.836	6.363	0.417	0.139	4.41	4.44	3	4	4.64	31148
wave	ocean	6.519	6.368	0.297	0.061	4.68	5.63	3	4	4.633	70204
drawing	art	6.306	8.21	0.238	0.047	5.57	4.36	5	3	4.632	19708
organ	piano	6.304	5.808	0.268	0.091	5.81	6.26	5	5	4.626	43664
fur	coat	5.13	6.082	0.324	0.027	6.69	5.83	2	3	4.61	26409
pool	swim	6.942	5.717	0.274	0.078	6.29	4.85	3	4	4.593	47795
cloud	rain	5.429	6.93	0.307	0.032	5.42	5.77	4	3	4.583	11860
chorus	sing	5.05	6.223	0.421	0.011	5.58	4.12	5	3	4.569	11081
statue	liberty	5.961	5.951	0.338	0.197	6	3.43	5	6	4.544	60830
flush	toilet	4.575	5.493	0.418	0.074	4.43	6.4	4	5	4.481	24807
ball	bat	7.24	5.533	0.19	0.252	6.08	5.6	3	3	4.467	4094
bake	cake	4.771	5.826	0.402	0.033	4.76	6.11	3	3	4.464	4015
meal	dinner	6.304	7.334	0.213	0.088	5.98	5.38	3	4	4.461	38762
cloth	material	5.69	7.406	0.206	0.15	5.76	6.1	4	8	4.45	11812
climb	mountain	6.023	6.922	0.291	0.092	3.67	6.25	4	6	4.428	11673
turtle	slow	4.852	7.025	0.372	0.115	6.4	2.89	5	3	4.421	67203
cry	tears	6.68	5.911	0.217	0.493	4.32	4.69	3	4	4.412	15539
stab	knife	4.489	5.979	0.417	0.019	4.63	6.08	4	3	4.4	60308
radio	stereo	7.375	5.024	0.203	0.125	6.45	6.4	5	6	4.399	50651
thumb	finger	5.333	6.146	0.257	0.141	6.58	6.2	3	5	4.375	65128
dollar	cents	6.989	6.492	0.243	0.033	5.68	5.25	4	5	4.34	19205
height	tall	6.219	6.244	0.394	0.014	3.85	4.35	3	3	4.327	30142
choir	sing	4.949	6.223	0.413	0.028	5.54	4.12	4	3	4.315	11009
limb	tree	4.868	7.308	0.27	0.014	5.86	6.62	3	3	4.311	36423
throat	neck	5.673	6.317	0.288	0.091	5.57	5.83	4	3	4.299	65062
poet	writer	5.924	7.191	0.224	0.051	6.35	5.63	4	4	4.274	47507
cane	sugar	4.625	6.565	0.273	0.079	6.93	6.35	3	4	4.264	8936
employee	employer	6.675	5.945	0.196	0.218	5.78	6.04	6	6	4.223	21176
scales	fish	5.165	7.582	0.291	0.042	4.75	5.84	5	3	4.196	54812
teeth	mouth	6.146	6.639	0.208	0.185	6.14	5.47	3	3	4.193	64123
nun	priest	4.22	5.768	0.331	0.069	6.76	6.59	3	5	4.174	42654
shade	tree	5.318	7.308	0.269	0.041	4.72	6.62	3	3	4.172	56317
tornado	hurricane	4.277	5.572	0.333	0.129	6.4	6.52	7	6	4.157	65836
shorts	pants	5.165	6.562	0.272	0.071	6.18	6.15	5	5	4.123	56872
dough	bread	4.663	6.378	0.31	0.058	6.22	6.18	2	4	4.121	19471
slim	fat	4.99	6.933	0.417	0.033	3.22	4.8	4	3	4.078	58031
velvet	soft	5.215	6.676	0.371	0	5.68	4.1	6	4	4.062	68846
punch	hit	5.71	8.012	0.259	0.054	5.41	4.39	4	3	4.02	50058
kiss	hug	6.001	5.247	0.224	0.411	5.78	5.34	3	3	3.969	34710
button	shirt	5.897	6.5	0.24	0.064	6	6.05	5	3	3.957	8427
lettuce	salad	4.29	5.73	0.278	0.299	5.67	6.83	5	5	3.941	36113
grain	wheat	5.384	5.273	0.365	0.034	5.63	5.55	4	3	3.905	28061
rain	wet	6.93	6.209	0.244	0.081	5.77	4.74	3	3	3.904	50739
orange	fruit	6.435	6.323	0.194	0.174	5.74	6	5	4	3.895	43538
guitar	string	5.501	5.986	0.281	0.063	6.73	5.4	5	5	3.821	28836
mosquito	bite	4.949	5.858	0.362	0.016	6.96	4.32	7	3	3.816	40775
penguin	bird	4.489	6.471	0.327	0	6.47	5.77	7	3	3.815	45660
sky	cloud	6.232	5.429	0.228	0.346	5.32	5.42	3	4	3.81	57823
nails	finger	4.97	6.146	0.285	0	6.96	6.2	4	5	3.804	41436
trail	path	6.107	6.585	0.248	0.17	5.23	4.93	4	3	3.726	66207
stain	spot	5.069	7.37	0.188	0.345	6.25	4.71	4	4	3.72	60421
motor	engine	6.436	6.41	0.195	0.087	6.24	5.88	4	5	3.669	40877
chemistry	science	5.916	7.512	0.329	0.04	3.65	4.14	8	5	3.665	10619
cellar	basement	4.159	6.078	0.287	0.071	6.83	6.83	4	7	3.631	9877
rod	fishing	5.209	6.95	0.251	0.136	6.15	5.05	3	5	3.613	53531
crater	moon	3.892	6.184	0.399	0	5.55	5.68	5	3	3.608	14773
dull	boring	5.338	6.299	0.458	0.142	3.08	2.65	3	5	3.599	20111
ring	finger	6.742	6.146	0.195	0.066	5.88	6.2	3	5	3.591	53202
curve	straight	6.461	7.148	0.285	0.081	4.4	3.89	3	5	3.563	15869
shrimp	fish	5.434	7.582	0.21	0.018	6.25	5.84	5	3	3.558	56984
throw	catch	6.964	7.251	0.234	0.162	4.05	4.02	3	3	3.539	65102
dust	dirt	5.864	5.631	0.284	0	6.67	5.51	4	3	3.519	20189
perfume	smell	4.159	6.301	0.393	0.036	6.03	4.4	6	4	3.501	45860
bang	gun	5.308	7.377	0.276	0.042	4.2	6.08	3	3	3.5	4279
ore	iron	4.443	6.615	0.326	0.035	5.98	5.47	2	3	3.491	43643
scramble	eggs	4.369	6.38	0.372	0.169	3.35	5.79	8	3	3.393	55239
elk	deer	4.852	5.521	0.423	0	5.75	3.96	3	3	3.354	21041
knot	tie	4.007	6.29	0.339	0.095	5.98	5.55	3	2	3.335	34932
knot	rope	4.007	4.984	0.394	0.028	5.98	6.36	3	3	3.314	34931
incense	smell	3.807	6.301	0.453	0	4.88	4.4	6	4	3.301	32434
aspirin	headache	5.298	5.017	0.417	0.218	5.7	2.26	6	5	3.301	3061
throw	toss	6.964	5.226	0.2	0.618	4.05	3.65	3	3	3.298	65103
rabbi	priest	4.963	5.768	0.304	0.028	5.68	6.59	4	5	3.294	50513
pudding	chocolate	4.127	6.594	0.318	0	6.6	5.72	5	6	3.287	49961
satin	silk	3.912	5.704	0.348	0.213	5.9	5.26	5	4	3.275	54639
wire	telephone	5.969	6.92	0.206	0.014	5.81	6.15	3	7	3.249	71109
fly	bug	6.85	5.557	0.223	0.06	5.14	6.4	3	3	3.229	24860
drawer	dresser	4.443	4.111	0.305	0.43	6.31	5.56	4	5	3.2	19699
jewel	diamond	4.522	5.501	0.354	0.011	5.73	6.21	4	6	3.187	33934
sheriff	cop	5.257	6.256	0.254	0	6.34	6.36	5	3	3.167	56641
wool	sheep	5.176	5.642	0.217	0.291	6.02	6.18	3	3	3.145	71396
tennis	racket	6.248	4.094	0.186	0.504	5.54	6.15	5	5	3.124	64338
bird	fly	6.471	6.85	0.212	0.02	5.77	5.14	3	3	3.123	5648
climb	tree	6.023	7.308	0.216	0.068	3.67	6.62	4	3	3.119	11674
gallon	milk	4.796	6.64	0.297	0	4.84	6.66	5	4	3.119	26618
cereal	milk	5.481	6.64	0.204	0.018	6.33	6.66	6	4	3.082	10018
sword	knife	5.124	5.979	0.301	0.051	5.25	6.08	4	3	3.064	63234
frost	snow	4.796	6.957	0.255	0	6.24	6.05	5	3	3.062	26128
launch	rocket	5.951	5.088	0.311	0.069	4.55	6.22	4	5	3.041	35406
lock	door	5.656	7.695	0.2	0.044	5.02	5.95	3	3	3.018	36925
shorts	shirt	5.165	6.5	0.252	0.013	6.18	6.05	5	3	2.977	56873
vegetables	fruit	5.796	6.323	0.208	0.082	6.15	6	9	4	2.976	68794
crook	thief	4.159	4.394	0.459	0.091	5.27	4.83	4	3	2.961	15289
cookie	chocolate	5.303	6.594	0.25	0	6.3	5.72	4	6	2.942	13950
trick	treat	5.951	6.746	0.331	0.108	3.36	3.95	4	4	2.9	66687
chocolate	candy	6.594	5.7	0.196	0.049	5.72	6.56	6	5	2.897	10978
fat	skinny	6.933	5.081	0.228	0.419	4.8	3.67	3	5	2.896	23357
science	biology	7.512	6.402	0.214	0.182	4.14	3.96	5	7	2.895	55107
couch	sofa	5.407	4.564	0.189	0.507	5.74	6.25	3	4	2.887	14299
chip	potato	6.358	5.493	0.188	0.142	5.3	7	3	6	2.86	10890
gorilla	monkey	4.094	6.038	0.353	0	6.16	5.46	5	5	2.829	27847
explode	bomb	4.852	6.644	0.261	0.15	4.92	5.91	7	3	2.823	22472
plead	beg	4.844	4.635	0.493	0.25	3.08	2.96	4	3	2.807	47192
plum	fruit	4.431	6.323	0.299	0	6.18	6	4	4	2.778	47376
coke	drink	5.878	7.009	0.221	0.06	5.68	4.95	3	5	2.776	12198
seafood	shrimp	5.328	5.434	0.245	0.126	6.17	6.25	5	5	2.724	55467
granite	stone	4.852	7.031	0.236	0	5.92	6.32	6	4	2.717	28139
paragraph	sentence	6.286	6.974	0.221	0.099	4.82	4.76	8	7	2.715	44751
crops	corn	5.425	5.673	0.301	0	5.87	5.51	5	4	2.709	15323
anchor	ship	5.182	6.335	0.254	0	5.91	6.25	4	3	2.695	1971
divorce	separate	6.107	7.462	0.284	0.056	4.23	3.38	6	6	2.625	19085
brush	tooth	5.442	4.984	0.277	0.123	5.66	6.15	4	3	2.598	7745
berry	fruit	4.673	6.323	0.298	0	5.56	6	4	4	2.571	5396
bored	tired	5.869	6.678	0.386	0.034	3.18	3.04	4	4	2.564	6729
curtain	window	4.852	7.033	0.189	0.038	6.82	6.27	5	5	2.511	15842
stew	beef	4.22	6.047	0.304	0.048	5.79	6.23	3	3	2.51	61091
flag	pole	6.382	5.389	0.193	0.157	6.2	5.59	4	3	2.484	24345
drum	stick	4.89	6.819	0.25	0	5.81	6	4	4	2.479	19989
remedy	cure	5.004	5.642	0.429	0.056	4.03	3.54	6	4	2.475	52117
birthday	cake	7.079	5.826	0.192	0.087	4.47	6.11	5	3	2.47	5706
labyrinth	maze	3.761	4.905	0.465	0.016	4.86	5.02	7	3	2.441	35059
wings	fly	5.652	6.85	0.231	0.01	5.82	5.14	4	3	2.413	71066
tomato	vegetables	5.398	5.796	0.231	0.025	6.58	6.15	6	9	2.389	65568
lease	rent	4.927	6.753	0.349	0.095	3.67	4.29	3	4	2.388	35748
honey	bee	5.68	4.787	0.235	0.22	5.91	5.93	4	2	2.364	31019
lip	mouth	5.017	6.639	0.228	0.049	6.5	5.47	3	3	2.342	36585
dentist	doctor	5.024	7.196	0.214	0.02	6.03	5.75	7	5	2.329	17201
tick	flea	4.431	5.357	0.256	0.281	5.69	6.12	3	3	2.318	65142
needle	pin	5.425	5.247	0.212	0.289	5.79	5.81	5	3	2.316	41735
foil	aluminum	4.71	5.666	0.314	0.164	5.05	5.19	3	8	2.312	24985
pit	hole	5.303	6.766	0.275	0.016	5.33	4.81	3	3	2.282	46714
sheep	lamb	5.642	5.147	0.162	0.333	6.18	6.24	3	3	2.266	56540
camel	desert	4.727	6.271	0.277	0	5.93	5.9	5	5	2.259	8760
hurricane	storm	5.572	6.397	0.227	0.042	6.52	4.92	6	5	2.259	31732
vegetable	fruit	5.147	6.323	0.22	0	6.76	6	8	4	2.238	68780
banana	fruit	5.142	6.323	0.215	0.065	6.29	6	6	4	2.209	4189
razor	blade	4.263	4.868	0.289	0.236	6.32	5.8	4	4	2.202	51096
ladder	climb	4.868	6.023	0.338	0.047	6.08	3.67	4	4	2.187	35119
engagement	ring	5.922	6.742	0.242	0.081	3.46	5.88	9	3	2.174	21343
string	rope	5.986	4.984	0.228	0.133	5.4	6.36	5	3	2.149	61774
leg	foot	6.271	7.179	0.206	0.061	6.04	3.46	3	3	2.115	35850
bet	gamble	7.122	4.736	0.345	0.16	3.28	3.3	3	6	2.114	5416
mug	beer	4.382	6.672	0.268	0.038	5.72	5.83	3	3	2.099	41097
hint	clue	5.919	5.743	0.344	0.161	3.35	3.71	4	3	2.098	30633
fishing	pole	6.95	5.389	0.205	0.087	5.05	5.59	5	3	2.083	24257
load	heavy	6.107	7.108	0.243	0.076	4.35	4.09	3	4	2.013	36809
picket	fence	3.332	5.533	0.384	0.15	4.46	5.85	5	4	1.99	46322
duck	pond	5.361	5.273	0.243	0.122	5.68	6.14	3	4	1.967	20051
laundry	dirty	5.727	6.34	0.255	0.034	6.1	4.08	6	4	1.949	35423
motion	movement	6.29	7.162	0.229	0.155	3.63	4.03	5	7	1.931	40848
hose	garden	4.682	6.991	0.176	0.132	6.39	5.92	3	6	1.928	31316
mosquito	bug	4.949	5.557	0.232	0.013	6.96	6.4	7	3	1.925	40776
champagne	wine	5.056	6.977	0.184	0.011	6.12	6.4	6	3	1.915	10158
holiday	vacation	6.652	6.884	0.259	0.02	3.6	4.1	6	7	1.855	30887
nails	hammer	4.97	5.22	0.269	0	6.96	5.77	4	4	1.81	41437
shout	yell	4.585	4.905	0.401	0.111	4.6	4.29	3	3	1.806	56922
tractor	trailer	4.007	5.598	0.326	0.034	5.86	5.84	6	5	1.799	66120
oven	stove	5.38	4.963	0.224	0.279	5.45	5.75	4	4	1.779	44050
lettuce	tomato	4.29	5.398	0.292	0.056	5.67	6.58	5	6	1.75	36112
goose	duck	4.304	5.361	0.261	0.162	6.63	5.68	3	3	1.737	27820
towel	dry	4.787	6.772	0.284	0.016	6.83	3.36	4	3	1.734	65999
purple	color	5.73	7.357	0.206	0.154	4.27	4.45	5	4	1.701	50177
bicycle	ride	5.273	6.829	0.23	0.055	6.33	4.14	7	3	1.688	5522
quilt	blanket	4.159	5.209	0.322	0	6.09	6.21	5	7	1.682	50447
glue	sticky	4.248	4.875	0.371	0.185	5.73	3.89	3	5	1.679	27543
vampire	bat	6.468	5.533	0.211	0.071	5.12	5.6	6	3	1.678	68580
beauty	beast	6.678	5.352	0.233	0.079	3.31	6.51	5	4	1.677	4951
dig	shovel	5.743	4.317	0.32	0.127	4.22	5.68	3	5	1.674	17999
snake	bite	5.328	5.858	0.279	0	6.48	4.32	4	3	1.663	58502
dump	garbage	5.447	5.864	0.326	0	3.36	5.68	4	6	1.658	20126
bead	necklace	4.159	4.174	0.384	0.021	5.61	6.12	3	6	1.648	4783
haze	fog	4.394	4.762	0.378	0.045	4.98	5.44	3	3	1.61	29840
fever	sick	5.583	6.941	0.288	0.016	4.37	3.89	4	3	1.587	23782
cowboy	horse	5.198	6.486	0.218	0	5.68	6.03	4	4	1.578	14571
thief	steal	4.394	5.684	0.388	0.089	4.83	3.59	3	4	1.573	64806
vest	jacket	4.19	5.72	0.3	0	5.69	6.31	4	5	1.557	68938
famine	hunger	4.564	5.056	0.452	0	3.71	4.16	5	5	1.554	23137
robber	thief	3.638	4.394	0.361	0.224	6.25	4.83	4	3	1.539	53408
opponent	enemy	5.743	6.344	0.273	0.02	4.3	4.88	7	5	1.539	43461
waist	hip	5.209	6.04	0.202	0.115	5.66	6.08	4	3	1.536	69648
ruin	destroy	5.318	5.951	0.372	0.106	3.08	3.63	4	6	1.501	53956
strawberry	fruit	4.543	6.323	0.217	0	7	6	8	4	1.5	61636
jaw	mouth	4.454	6.639	0.253	0	6.14	5.47	2	3	1.499	33775
vision	sight	6.773	6.45	0.234	0.064	4.27	3.84	5	3	1.499	69281
blush	embarrass	3.912	3.871	0.411	0.22	4.59	0	4	7	1.492	6356
bargain	sale	5.595	6.869	0.317	0.131	2.71	3.6	6	3	1.492	4378
violet	purple	3.611	5.73	0.403	0.052	5.12	4.27	6	5	1.482	69205
envy	jealousy	5.081	4.654	0.513	0.187	2.34	1.77	4	6	1.482	21551
hay	horse	4.736	6.486	0.216	0	6.39	6.03	2	4	1.468	29791
damp	wet	4.382	6.209	0.364	0.027	4	4.74	4	3	1.463	16169
soak	wet	4.489	6.209	0.357	0.027	4.03	4.74	3	3	1.458	58753
pumpkin	halloween	4.554	5.176	0.3	0.186	6.42	4.12	7	7	1.456	50042
pill	medicine	5.257	7.047	0.184	0.06	5.88	5.27	3	7	1.438	46513
lighter	cigarette	5.236	5.844	0.271	0.095	3.91	6.03	4	6	1.431	36343
ribbon	bow	4.575	5.613	0.265	0.041	6.3	5.78	5	2	1.413	52973
soda	coke	5.288	5.878	0.192	0.157	5.96	5.68	4	3	1.398	58886
wage	salary	5.844	6.335	0.229	0.082	4.33	5.23	3	5	1.356	69621
juvenile	delinquent	5.187	3.219	0.356	0.204	0	0	7	10	1.355	34372
prisoner	jail	5.442	6.41	0.177	0.013	6.45	5.84	7	3	1.343	49119
tonic	gin	3.989	4.248	0.304	0.295	0	6.35	5	3	1.339	65670
beverage	soda	4.787	5.288	0.286	0	5.87	5.96	6	4	1.327	5467
cookie	jar	5.303	5.231	0.228	0.082	6.3	5.77	4	3	1.315	13951
jump	rope	6.363	4.984	0.228	0.061	4.44	6.36	4	3	1.308	34207
cocoon	butterfly	3.045	4.369	0.412	0.024	6.13	5.91	5	7	1.307	12123
launch	shuttle	5.951	5.509	0.25	0.014	4.55	5.9	4	5	1.268	35407
hail	rain	4.543	6.93	0.27	0.019	4.26	5.77	3	3	1.267	29034
popcorn	butter	4.635	6.001	0.217	0.018	6.6	6.24	7	4	1.241	47834
beautiful	ugly	7.58	6.031	0.229	0.028	3.89	3.68	8	4	1.233	4944
garlic	bread	5.352	6.378	0.178	0	6.23	6.18	6	4	1.222	26761
razor	sharp	4.263	6.217	0.306	0.03	6.32	4.12	4	4	1.219	51095
pardon	excuse	5.468	6.642	0.348	0.088	2.98	3.05	6	7	1.218	44789
booth	telephone	4.949	6.92	0.188	0.014	5.64	6.15	3	7	1.179	6671
pearl	necklace	5.323	4.174	0.272	0.091	5.85	6.12	3	6	1.146	45534
dirt	sand	5.631	6.284	0.176	0.031	5.51	6.25	3	4	1.144	18285
jelly	jam	4.317	5.024	0.213	0.453	5.3	5.59	4	3	1.142	33871
wagon	wheel	4.82	5.805	0.25	0.021	6.18	5.53	5	3	1.132	69635
edge	cliff	6.898	5.293	0.182	0.104	4.28	5.98	2	4	1.123	20543
reel	rod	3.555	5.209	0.291	0.279	4.85	6.15	3	3	1.089	51646
earthquake	shake	5.549	5.468	0.241	0	6.32	5.1	6	3	1.069	20400
kettle	tea	4.394	6.698	0.223	0	5.93	6.05	5	2	1.061	34450
wasp	sting	4.205	4.7	0.365	0.022	6.33	4.52	4	4	1.047	70098
bake	cook	4.771	6.779	0.252	0.079	4.76	4.91	3	3	1.039	4016
wheat	bread	5.273	6.378	0.189	0.026	5.55	6.18	3	4	1.022	70636
tomb	grave	5.638	5.704	0.236	0.011	5.62	5.27	3	4	1.015	65585
carrot	rabbit	4.718	6.405	0.205	0.022	6.09	6.04	5	5	0.98	9443
cherry	pie	5.081	6.24	0.182	0.076	5.86	6.09	4	2	0.962	10636
herb	spice	4.82	5.147	0.282	0.028	5.54	5.86	2	4	0.938	30313
rush	hurry	6.05	5.05	0.317	0.289	3.46	2.77	3	3	0.932	54135
gorilla	ape	4.094	4.605	0.261	0.185	6.16	6.4	5	2	0.911	27848
sore	hurt	5.081	7.153	0.275	0.012	4.77	3.66	3	3	0.9	59196
crops	farm	5.425	6.603	0.178	0.024	5.87	5.53	5	4	0.9	15324
bug	roach	5.557	4.043	0.154	0.331	6.4	6.42	3	3	0.861	7834
smog	fog	4.443	4.762	0.333	0.05	5.35	5.44	4	3	0.861	58376
term	semester	7.891	5.533	0.207	0.079	3.63	3.88	3	7	0.831	64406
penny	nickel	5.501	4.554	0.262	0.014	5.92	5.84	4	5	0.826	45677
wasp	bee	4.205	4.787	0.304	0.016	6.33	5.93	4	2	0.812	70099
ham	pig	5.147	5.835	0.192	0.028	5.42	6.92	3	3	0.808	29218
violation	ticket	5.609	6.366	0.227	0	2.92	7	8	5	0.789	69139
ash	cigarette	5.352	5.844	0.216	0.02	5.33	6.03	2	6	0.783	2948
phantom	ghost	4.883	5.71	0.405	0.012	2.5	4.25	6	4	0.77	46108
spill	milk	4.7	6.64	0.223	0	4.49	6.66	4	4	0.758	59744
stale	bread	4.078	6.378	0.303	0	3.89	6.18	4	4	0.669	60509
divide	multiply	5.881	4.82	0.253	0.456	3.36	3.55	5	8	0.666	19039
curtain	rod	4.852	5.209	0.213	0.028	6.82	6.15	5	3	0.618	15841
sailor	ship	4.174	6.335	0.222	0	6.13	6.25	4	3	0.609	54318
dancer	ballet	4.956	5.434	0.255	0.076	5.54	5.23	5	4	0.594	16207
bitter	sour	6.29	5.187	0.254	0.115	4.05	4.54	4	3	0.567	5802
bristle	brush	3.296	5.442	0.397	0.011	4.05	5.66	6	4	0.55	7538
pretend	fake	5.642	5.981	0.379	0.028	2.68	2.88	7	3	0.549	48791
barn	horse	4.844	6.486	0.165	0	6.68	6.03	4	4	0.541	4419
meadow	grass	3.951	6.441	0.219	0	6.69	5.93	4	4	0.53	38746
shame	guilt	6.103	5.799	0.345	0	3.4	2.92	3	4	0.517	56386
anxious	nervous	5.476	6.354	0.351	0.062	2.44	3.3	6	5	0.506	2324
bend	break	5.263	7.559	0.274	0.011	3.58	3.52	4	4	0.505	5333
stove	cook	4.963	6.779	0.212	0	5.75	4.91	4	3	0.494	61495
cigar	cigarette	4.673	5.844	0.216	0.082	5.56	6.03	5	6	0.493	11203
heel	shoe	4.466	5.318	0.274	0	5.75	5.96	3	2	0.492	30132
mask	hide	5.442	6.045	0.182	0	6.38	5.45	4	3	0.489	38391
chemist	scientist	3.85	5.838	0.262	0	5.8	6.48	6	8	0.482	10606
barrel	beer	5.017	6.672	0.17	0	6.1	5.83	5	3	0.48	4438
belly	button	4.99	5.897	0.2	0.014	6.04	6	4	5	0.447	5270
wreck	accident	4.984	6.512	0.257	0.054	4.88	4.26	3	8	0.443	71682
ruby	diamond	4.477	5.501	0.25	0.011	5.75	6.21	4	6	0.432	53915
helmet	hat	4.644	6.28	0.206	0	5.98	5.97	6	3	0.411	30212
gravel	rocks	3.932	6.155	0.25	0.013	5.83	6.03	6	4	0.407	28266
ivy	poison	4.718	5.342	0.257	0.054	5.54	5.65	3	5	0.402	33672
nylon	hose	4.489	4.682	0.272	0	6.16	6.39	5	3	0.401	42719
organ	donor	6.304	5.878	0.19	0.063	5.81	4	5	4	0.398	43665
pillow	soft	4.727	6.676	0.236	0.018	6.12	4.1	4	4	0.365	46528
clam	oyster	3.738	3.932	0.285	0.359	5.53	5.69	4	4	0.343	11360
stew	soup	4.22	5.838	0.243	0.018	5.79	6.11	3	3	0.309	61092
fraternity	sorority	3.807	3.584	0.375	0.296	4.2	0	9	7	0.3	25649
maid	servant	5.13	4.477	0.145	0.386	6.25	5.77	3	6	0.28	37702
jeep	truck	4.466	6.542	0.158	0	6.09	7	3	4	0.276	33844
barn	cow	4.844	6.023	0.173	0	6.68	6.12	4	2	0.24	4418
kettle	pot	4.394	6.186	0.234	0.029	5.93	5.3	5	3	0.234	34449
carrots	rabbit	4.407	6.405	0.2	0	6.09	6.04	6	5	0.232	9459
salute	flag	4.22	6.382	0.229	0.041	5	6.2	5	4	0.231	54486
shield	protection	5.024	7.169	0.243	0.021	5.13	3.49	4	9	0.226	56648
rag	cloth	4.466	5.69	0.245	0.03	5.69	5.76	3	4	0.213	50694
peach	fruit	4.394	6.323	0.206	0	6.05	6	3	4	0.194	45455
allergy	sneeze	4.575	3.091	0.407	0.029	4.7	5.51	5	4	0.188	1559
pier	fishing	4.625	6.95	0.205	0	5.76	5.05	3	5	0.184	46434
decay	rot	5.081	4.22	0.364	0.237	3.66	3.54	4	3	0.178	16577
trumpet	instrument	4.277	5.768	0.177	0.074	7	6.25	7	10	0.177	66890
policeman	cop	4.736	6.256	0.156	0	6.69	6.36	8	3	0.168	47651
booze	beer	4.635	6.672	0.181	0	6	5.83	3	3	0.135	6703
copper	penny	5.278	5.501	0.211	0.074	4.98	5.92	4	4	0.135	14051
captive	prisoner	4.174	5.442	0.214	0.123	5.8	6.45	6	7	0.126	9127
catastrophe	disaster	4.554	6.426	0.306	0.095	3.58	4.12	10	7	0.085	9638
cherry	fruit	5.081	6.323	0.168	0	5.86	6	4	4	0.025	10637
slice	pie	5.204	6.24	0.212	0.011	4.23	6.09	4	2	0.024	57987
fries	potato	4.745	5.493	0.142	0.122	6.25	7	4	6	0.008	26025
onion	cry	4.89	6.68	0.209	0	6.16	4.32	5	3	-0.006	43329
ham	eggs	5.147	6.38	0.167	0.047	5.42	5.79	3	3	-0.031	29219
enemy	foe	6.344	4.127	0.197	0.401	4.88	3.65	5	2	-0.064	21263
vodka	drink	4.745	7.009	0.186	0.016	5.72	4.95	5	5	-0.064	69362
toast	butter	5.283	6.001	0.164	0.024	5.54	6.24	4	4	-0.066	65422
spoil	rotten	4.357	4.477	0.447	0	3	4.31	4	5	-0.079	59890
carrot	orange	4.718	6.435	0.18	0	6.09	5.74	5	5	-0.081	9444
sphere	circle	4.443	6.485	0.258	0	4.72	5.14	4	5	-0.092	59664
barn	hay	4.844	4.736	0.189	0.081	6.68	6.39	4	2	-0.107	4417
dig	hole	5.743	6.766	0.186	0.047	4.22	4.81	3	3	-0.108	18000
