cond	onset	word1	word2
3.0	0	ŒŒƋƱƟ	ƱΨʖƏΘϞ
3.1	2	ΔƱƱƕƏƧ	ΔƱƱƕƏƧ
3.1	4	ϞδƕΦƩ	ϞδƕΦƩ
3.1	6	ΞΔΞϞƜŒ	ΞΔΞϞƜŒ
3.1	8	ΔƧΓΔŒʖ	ΔƧΓΔŒʖ
3.1	10	ΓЖΞƧƏ	ΓЖΞƧƏ
3.1	12	ΘʖΨΞЖƘ	ΘʖΨΞЖƘ
3.0	14	ŒΨƏΓΓδ	ΨƱΓƱŒ
5.0	16	<REST>	<REST>
4.0	32	ʖΘƧʖδ	ʖδƧʖδ
4.1	34	ЖƋΞΘƱ	ЖƋΞΘƱ
4.0	36	ϞʖΦŒƱ	ϞʖΦŒƟ
4.1	38	ƧƕΦΓϞŒ	ƧƕΦΓϞŒ
4.0	40	ƏƟƕΔŒƘ	ƏƟƕΔŒƩ
4.0	42	ΔϞƩƜƜ	ΨϞƩƜƜ
4.0	44	ƩƕΔŒδƕ	ƩƟΔŒδƕ
4.0	46	ΔƱƟƜƱΨ	ΔƱƟƕƱΨ
1.1	48	child	baby
1.1	50	report	officer
1.1	52	page	paper
1.0	54	tongue	costume
1.1	56	cigarette	fire
1.1	58	paragraph	page
1.0	60	restaurant	ink
1.1	62	throw	ball
3.0	64	ΓŒΔƋЖʖ	ƟΦƟƏƧ
3.1	66	ΦЖƩŒŒ	ΦЖƩŒŒ
3.0	68	ϞϞƘƋΨ	ƘΓΦЖƕΘ
3.0	70	δʖΘΨŒϞ	ʖΘƋƕƏ
3.0	72	ΓƱΓΞΘ	ΨΨƧʖƟŒ
3.0	74	ŒƏΦƩΔ	ΔΞϞΘƱΦ
3.1	76	ƋƘƋЖƱ	ƋƘƋЖƱ
3.1	78	δΨƜƏδ	δΨƜƏδ
1.0	80	watch	shoe
1.1	82	watch	show
1.0	84	room	woman
1.0	86	teacher	insect
1.1	88	camera	picture
1.1	90	sister	brother
1.1	92	film	movie
1.0	94	dress	mountain
5.0	96	<REST>	<REST>
2.0	112	nerve|justify|idle	pail|thwart|beech
2.1	114	crypt|abode|tremor	tomb|dwelling|fissure
2.0	116	gig|dive|edict	wallet|salve|lice
2.1	118	shock|alimony|squire	jolt|income|brigand
2.1	120	quest|rumor|vile	seek|myth|repulsive
2.0	122	wage|mirage|heroism	enemy|boredom|wicket
2.0	124	hunter|troupe|beau	urn|invader|dictation
2.1	126	lure|scheme|discord	stalk|cunning|clamor
4.0	128	ЖƟƧƏƘϞ	ΓƟƧƏƘϞ
4.1	130	δƟƘƘƟ	δƟƘƘƟ
4.1	132	ΨΔΞΦƟΦ	ΨΔΞΦƟΦ
4.0	134	ϞΞƱΞδƜ	ϞΞƱŒδƜ
4.0	136	ΔΔƏΓϞ	ΔƟƏΓϞ
4.0	138	ΦЖŒЖŒ	ΦʖŒЖŒ
4.1	140	ʖΔƧδΓ	ʖΔƧδΓ
4.1	142	ΦƟŒΞƜƜ	ΦƟŒΞƜƜ
3.1	144	ΘƱƟΘƋƱ	ΘƱƟΘƋƱ
3.0	146	ΞƜƧϞΓϞ	ΔƱΨʖΔ
3.1	148	ƜʖΨЖʖƟ	ƜʖΨЖʖƟ
3.0	150	ƩƱƋδΓƧ	ƜΦϞƟƜ
3.1	152	ϞΓΦƜƩЖ	ϞΓΦƜƩЖ
3.0	154	ΦΓΦƏƱ	ΞƘƜЖƧʖ
3.1	156	ƕΓΓƱƧŒ	ƕΓΓƱƧŒ
3.0	158	ƏЖƟƟΞΨ	ΓƏδƋΨ
1.0	160	food	stone
1.0	162	read	house
1.1	164	room	house
1.0	166	table	hand
1.1	168	pillow	blanket
1.0	170	chicken	banana
1.1	172	restaurant	bar
1.1	174	noodle	chicken
3.1	176	ƜΞЖΘƋ	ƜΞЖΘƋ
