cond	onset	word1	word2
2.0	0	revenue|wick|exertion	spruce|moral|waive
2.1	2	cinder|quail|tremor	furnace|fowl|fissure
2.0	4	demolish|burlap|deity	polka|heroism|slovenly
2.1	6	shock|heal|starch	jolt|salve|lye
2.0	8	sash|mutton|beau	petal|eternal|dictation
2.1	10	steal|alimony|analogy	loot|income|simile
2.0	12	gallant|plea|velocity	plunge|vault|feint
2.1	14	frail|despise|lode	weak|hatred|miner
1.1	16	light	darkness
1.1	18	tower	building
1.1	20	bedroom	closet
1.1	22	throw	ball
1.0	24	shirt	ball
1.1	26	school	teacher
1.0	28	light	vacation
1.1	30	thumb	hand
1.0	32	toilet	chicken
1.0	34	food	stone
1.1	36	film	movie
1.0	38	film	water
1.0	40	family	leg
1.0	42	tree	first
1.1	44	child	baby
1.1	46	cigarette	fire
5.0	48	<REST>	<REST>
1.1	64	pillow	blanket
1.0	66	teacher	insect
1.1	68	face	smile
1.0	70	contract	point
1.0	72	watch	shoe
1.0	74	chicken	banana
1.0	76	tongue	costume
1.0	78	ball	paper
4.0	80	ϞʖƱδƧ	ϞΓƱδƧ
4.0	82	ƧƜδƘƟƋ	ΦƜδƘƟƋ
4.0	84	ƱŒΨƩƕ	ƱŒΨΔƕ
4.0	86	ƱΞΦƕƏ	ƱΞδƕƏ
4.0	88	ϞЖƟƘΨƟ	ϞƏƟƘΨƟ
4.0	90	ƟƟΓƱϞƋ	ƟƟƧƱϞƋ
4.1	92	ƘΘΓƕƏΨ	ƘΘΓƕƏΨ
4.1	94	ƏΘƜΓΘ	ƏΘƜΓΘ
2.0	96	glad|justify|surtax	spasm|thwart|brigand
2.1	98	leek|portray|desolate	asparagus|depict|bleak
2.1	100	pale|hymn|vane	blush|psalm|eaves
2.1	102	lure|decoy|sneer	stalk|lure|snub
2.0	104	frenzy|poverty|lymph	fencing|botany|lyre
2.1	106	suspect|removal|abbess	motive|excise|convent
2.1	108	decay|chrome|tush	odor|chassis|strut
2.1	110	measure|revenge|squire	finite|grudge|brigand
4.0	112	ƜΦΘΘΨ	ƜΦΘΘʖ
4.1	114	ƜƟΓƩΘ	ƜƟΓƩΘ
4.0	116	ƜΦƕϞƜ	ƏΦƕϞƜ
4.0	118	ƩƩʖŒƘƏ	ƩƩʖƟƘƏ
4.1	120	ΨʖΦƱƋ	ΨʖΦƱƋ
4.0	122	ƏΞЖƏƕΘ	ƏϞЖƏƕΘ
4.1	124	ʖƏƋΔƕ	ʖƏƋΔƕ
