cond	onset	word1	word2
1.1	0	nurse	patient
1.1	2	block	street
1.1	4	mother	father
1.1	6	dentist	brush
1.1	8	mirror	face
1.0	10	disease	music
1.0	12	animal	cold
1.1	14	monkey	banana
1.1	16	table	chair
1.0	18	blade	school
1.0	20	sister	letter
1.1	22	library	read
1.1	24	gift	present
1.0	26	tomato	beach
1.1	28	pocket	jacket
1.0	30	train	closet
5.0	32	<REST>	<REST>
3.1	48	ΨƘΦƩƏ	ΨƘΦƩƏ
3.0	50	ƩΘΞΓδЖ	ΦδЖΦΔ
3.0	52	ƋΓƜΔϞδ	ΞƟƱδʖ
3.0	54	ΦΦƏƟƘŒ	ʖƋΞƏʖ
3.1	56	ϞΔδƩΦƘ	ϞΔδƩΦƘ
3.0	58	ƟƜϞƧϞ	ΓŒƟƟЖƧ
3.1	60	δΞƕƧΔƋ	δΞƕƧΔƋ
3.1	62	ƕƕƱƋƟΘ	ƕƕƱƋƟΘ
1.0	64	wing	teacher
1.0	66	heart	candy
1.1	68	animal	wild
1.0	70	mountain	pill
1.1	72	banana	apple
1.0	74	mother	game
1.0	76	artist	dress
1.0	78	nose	jacket
5.0	80	<REST>	<REST>
4.0	96	ΘƩΔŒΨ	ƋƩΔŒΨ
4.0	98	ŒƧϞƋΞΨ	ŒƧϞƋΨΨ
4.0	100	ϞΦƜδΘƱ	ϞΦδδΘƱ
4.0	102	δΓΨΔЖƘ	δΓΨΔƜƘ
4.0	104	ΔϞƱΓΦƏ	ΔϞƱΓΘƏ
4.1	106	ƜΓΓΓʖ	ƜΓΓΓʖ
4.1	108	ЖƱʖƩƕ	ЖƱʖƩƕ
4.0	110	ΔʖŒƕЖ	ΔδŒƕЖ
1.1	112	trip	vacation
1.1	114	sleep	night
1.0	116	coast	church
1.1	118	butter	bread
1.1	120	family	home
1.1	122	write	paper
1.1	124	wife	husband
1.0	126	knife	brother
2.0	128	chaos|sleet|franc	removal|shriek|melee
2.0	130	marry|fraud|spasm	agony|sorrow|eaves
2.0	132	native|aspirin|lye	dreary|algae|diffusion
2.0	134	sketch|rigid|bard	cavern|venom|rubble
2.0	136	atom|stride|freedom	upright|slay|valor
2.0	138	pouch|keg|gavel	blush|nightgown|frock
2.1	140	atom|vague|havoc	molecule|context|discord
2.1	142	protocol|oboe|pride	code|clarinet|valor
3.0	144	ƟƋƧΦʖ	ƱЖƟƧΦЖ
3.0	146	δΓƘΞЖΔ	ΦϞΔƏƩ
3.0	148	ΘϞΘƧΦ	ΞƕʖƕƩΓ
3.0	150	ƘΞΘŒΘ	ƩΔΦʖΔΨ
3.0	152	ƟδδΓƋΨ	ƱƋƜƧƏ
3.1	154	ΔƋƕƧϞŒ	ΔƋƕƧϞŒ
3.1	156	ƜΓΘΦƏ	ƜΓΘΦƏ
3.0	158	ΘƧЖƏƜ	ƋƱδƘʖƟ
5.0	160	<REST>	<REST>
4.1	176	ΨΘƘΦƩΘ	ΨΘƘΦƩΘ
4.0	178	ƋΞΨƟƘ	ƋΞΨƟƧ
4.1	180	ΓƧƟƏΨ	ΓƧƟƏΨ
4.1	182	ƜδƋΨƘƧ	ƜδƋΨƘƧ
4.0	184	ŒƱΔΔƟƘ	ŒƱΔΔƟΨ
4.0	186	ƧƋΦΘΦ	ƧƋΦΘδ
4.0	188	δƕƏƧʖ	ΞƕƏƧʖ
4.1	190	ΨƱΦЖΦΞ	ΨƱΦЖΦΞ
2.1	192	admiral|plot|dandruff	fleet|thwart|lice
2.1	194	pause|wick|edict	brief|flicker|decree
2.0	196	odor|mink|ego	loyalty|minnow|flicker
2.0	198	alias|admire|yew	jewel|patent|chassis
2.0	200	haul|fir|lute	acrobat|ownership|abscess
2.1	202	coffin|squeak|bland	morgue|clang|savory
2.0	204	solution|reed|vise	pity|curfew|panorama
2.1	206	gavel|rode|forfeit	court|jockey|waive
2.1	208	fantasy|coral|demolish	fable|algae|raze
