cond	onset	word1	word2
3.0	0	ƟʖƱΦΓΦ	ƋƕΦƱƟ
3.0	2	ΦƋƱΓƩƘ	ƏƱʖƏƱ
3.0	4	ƜƋƜΞΨ	ΞŒƘƜƋƜ
3.0	6	ƋΦƋƋΨ	ΦδʖΦƕƟ
3.0	8	ʖΓʖŒƋƧ	ΦƧƋΦϞ
3.0	10	ΓƩΓΔΞ	ƧƱƘƋƘΦ
3.1	12	ΘЖƜƱΘΓ	ΘЖƜƱΘΓ
3.1	14	ΞƏƏƏƕƩ	ΞƏƏƏƕƩ
1.0	16	carrot	window
1.1	18	block	street
1.0	20	rabbit	kind
1.0	22	pepper	story
1.0	24	blood	message
1.1	26	tree	branch
1.1	28	tape	record
1.1	30	mail	letter
3.1	32	ʖʖƜʖΔƏ	ʖʖƜʖΔƏ
3.1	34	ƕƟΔδΨ	ƕƟΔδΨ
3.1	36	ΞƏƜƕƜ	ΞƏƜƕƜ
3.1	38	ŒƜϞϞϞ	ŒƜϞϞϞ
3.0	40	ƕƏΨΘƩƘ	ƘƋŒƋƟ
3.0	42	ƕΔƧϞƧΞ	ƟʖϞΦƟ
3.1	44	ƧƕΨƩƜ	ƧƕΨƩƜ
3.1	46	ΞƕƘƧƋ	ΞƕƘƧƋ
3.1	48	ƋƩЖΘΘΨ	ƋƩЖΘΘΨ
3.0	50	ЖƱΨΔЖΘ	ƧϞƜƏƏ
3.1	52	ƜϞϞƩΓʖ	ƜϞϞƩΓʖ
3.1	54	ƱƧΘƱƟ	ƱƧΘƱƟ
3.1	56	ΔƕΔƱϞƕ	ΔƕΔƱϞƕ
3.1	58	ƋΨЖʖŒ	ƋΨЖʖŒ
3.0	60	ΔŒΨΦЖϞ	ϞƱƟΨƜ
3.0	62	ЖƜΓƜΦЖ	ƱΨƋƩƟ
5.0	64	<REST>	<REST>
1.1	80	table	chair
1.1	82	library	read
1.0	84	banana	look
1.0	86	floor	drink
1.1	88	family	home
1.0	90	coast	church
1.1	92	animal	wild
1.0	94	shape	street
4.1	96	ƩƟΨϞΘΞ	ƩƟΨϞΘΞ
4.0	98	ϞƧƟΓЖƋ	ϞƧƟΓЖΦ
4.0	100	ƧƏδŒϞ	ΘƏδŒϞ
4.1	102	ƘŒЖʖƧΔ	ƘŒЖʖƧΔ
4.0	104	ƕƘʖƏƩ	ƕƘʖƏƘ
4.1	106	ΔΨΞƏΞΘ	ΔΨΞƏΞΘ
4.0	108	ƱƜϞΦƘ	ƱΘϞΦƘ
4.1	110	ƜϞƘƕΔ	ƜϞƘƕΔ
5.0	112	<REST>	<REST>
3.1	128	ŒδΦƱƱ	ŒδΦƱƱ
3.1	130	δŒϞŒƜ	δŒϞŒƜ
3.1	132	ƕΞƱƧƏΨ	ƕΞƱƧƏΨ
