cond	onset	word1	word2
3.0	0	ΦΞƧΓΨ	ƩδΔΔЖʖ
3.0	2	ΞΔŒΔΔΓ	ƱƱƘƟƧ
3.0	4	δΨδƜƜ	ϞƘΘƘƟʖ
3.0	6	δΨЖδΔƕ	ЖƟƩŒƟ
3.1	8	ƘΦʖʖЖƟ	ƘΦʖʖЖƟ
3.1	10	ΓŒƟЖŒŒ	ΓŒƟЖŒŒ
3.1	12	δƜƱΨʖʖ	δƜƱΨʖʖ
3.1	14	ϞʖϞƧƩ	ϞʖϞƧƩ
1.0	16	animal	cold
1.0	18	mirror	branch
1.1	20	necklace	ring
1.1	22	tape	record
1.0	24	water	black
1.1	26	hill	mountain
1.0	28	village	glass
1.1	30	radio	station
2.1	32	brute|stupid|decree	beast|dolt|edict
2.0	34	bitter|measles|mastery	podium|logic|teem
2.1	36	truth|crush|lunge	deceit|pummel|feint
2.1	38	tunic|rugged|graceful	sandal|jagged|gait
2.1	40	urban|piston|suede	rural|gasket|mohair
2.0	42	slit|mallet|gauntlet	future|ache|lire
2.1	44	fraud|oath|epitaph	scheme|pledge|wrote
2.1	46	dive|plot|yoke	harpoon|thwart|tyranny
1.1	48	corner	block
1.1	50	coat	jacket
1.1	52	answer	call
1.1	54	avenue	street
1.1	56	mail	letter
1.0	58	shell	flower
1.1	60	village	town
1.1	62	write	paper
2.0	64	germ|mare|plank	choral|traction|logos
2.0	66	bureau|whiff|gilt	quake|outcome|ornate
2.1	68	sleet|cuisine|dirge	storm|bland|lament
2.1	70	steak|sash|mutton	brisket|girdle|veal
2.0	72	debut|manure|assent	payment|cure|dirge
2.0	74	tide|gush|gavel	parcel|furnace|frock
2.1	76	quake|chuckle|botany	rubble|yelp|flora
2.1	78	fantasy|mince|abhor	fable|slice|condemn
5.0	80	<REST>	<REST>
3.0	96	ƕϞƩΨƕΓ	ϞЖΞΘΦ
3.0	98	ΘƏƋΘΓƟ	ƜΘƩΦΘ
3.1	100	ΦϞƘϞƏΘ	ΦϞƘϞƏΘ
3.1	102	ΘΓƟƧƋ	ΘΓƟƧƋ
3.1	104	ŒΓƱϞƧ	ŒΓƱϞƧ
3.1	106	ƱƘʖƟΘ	ƱƘʖƟΘ
3.1	108	ƟƧƱΔΦΦ	ƟƧƱΔΦΦ
3.1	110	ϞƱƘΘЖƧ	ϞƱƘΘЖƧ
4.0	112	ƩƏƕΨƟ	ƩƏƟΨƟ
4.0	114	δƧΞϞΞΘ	δƧΞϞƕΘ
4.0	116	ƕδʖƘδΦ	ƕƱʖƘδΦ
4.0	118	ʖδΦΓƧ	ʖδΦΓŒ
4.1	120	ϞΨƏΘƋƜ	ϞΨƏΘƋƜ
4.1	122	ƜʖƋϞΞ	ƜʖƋϞΞ
4.0	124	ΓΨϞЖΘ	ΓΨϞΘΘ
