2.0117	4	3	1
2.0172	11.7	3	1
1.0022	19.7	3	1
1.0066	28.1	3	1
1.0182	32.1	3	1
2.0014	39.3	3	1
1.0165	46.2	3	1
1.0253	50.6	3	1
1.0039	54.6	3	1
1.0247	58.6	3	1
1.0212	64.4	3	1
1.0032	70.4	3	1
2.0143	76.5	3	1
1.0174	82.4	3	1
2.0082	90.9	3	1
1.0205	98.5	3	1
1.0053	103.5	3	1
2.013	115.5	3	1
2.0187	124.5	3	1
2.0192	128.5	3	1
1.0097	135.8	3	1
1.0038	142.4	3	1
1.0166	149.2	3	1
2.0054	156.2	3	1
1.0049	161.5	3	1
1.0137	169.8	3	1
1.0217	174.7	3	1
1.0154	179.4	3	1
2.0201	187.3	3	1
2.0046	192.4	3	1
2.0005	199.1	3	1
1.0167	203.3	3	1
2.0175	208.7	3	1
1.0007	213.2	3	1
2.0163	218.9	3	1
1.0047	229.9	3	1
1.0122	235.1	3	1
2.0238	239.1	3	1
1.0092	243.4	3	1
2.0241	256.4	3	1
1.0224	270.4	3	1
1.0179	274.4	3	1
1.0223	281.5	3	1
1.0234	287	3	1
1.001	297	3	1
1.0156	304.5	3	1
2.0006	310.8	3	1
1.0246	318.2	3	1
1.0055	326.3	3	1
1.0159	332.7	3	1
1.0249	337.5	3	1
1.0043	341.5	3	1
2.0222	347.1	3	1
1.0067	351.1	3	1
1.0233	357.6	3	1
2.0244	365.4	3	1
1.0091	373.6	3	1
1.0063	377.7	3	1
2.0089	383.9	3	1
1.026	388.5	3	1
