2.01	4	3	1
1.0141	10.2	3	1
1.0069	17.1	3	1
2.0231	21.6	3	1
1.0021	27.4	3	1
1.0242	34.5	3	1
2.0151	45.5	3	1
2.0107	53.8	3	1
1.0031	59	3	1
1.0103	63.6	3	1
2.0093	67.6	3	1
1.0104	75.4	3	1
1.0076	81.9	3	1
1.0065	87.8	3	1
2.0052	95.5	3	1
1.0004	102.5	3	1
1.0074	109.3	3	1
1.0207	121.3	3	1
2.0155	126.4	3	1
1.0087	135.4	3	1
2.0062	139.5	3	1
1.0142	147	3	1
1.0088	151.2	3	1
1.0158	155.2	3	1
1.0115	159.9	3	1
1.014	164.3	3	1
2.0259	168.3	3	1
2.0118	172.3	3	1
1.0146	176.3	3	1
1.0094	189.3	3	1
2.0057	193.3	3	1
1.0113	201.2	3	1
2.0071	209.2	3	1
2.0017	216.8	3	1
2.0025	224.1	3	1
2.0129	230.7	3	1
2.0149	237	3	1
1.0131	242.5	3	1
1.0171	256.5	3	1
1.0018	260.8	3	1
2.0028	268	3	1
1.0008	276.2	3	1
1.0081	281	3	1
1.0064	287.4	3	1
1.0136	295.8	3	1
1.0144	299.8	3	1
2.003	308.3	3	1
1.0125	313.7	3	1
2.0133	319.7	3	1
1.0106	327.8	3	1
1.007	332.7	3	1
1.0034	338.4	3	1
1.0254	345.1	3	1
1.0198	355.1	3	1
1.0183	359.1	3	1
1.0044	364.1	3	1
1.0132	369.4	3	1
1.0203	375.5	3	1
1.0012	382.9	3	1
2.0116	388.5	3	1
