cond	onset	word1	word2
4.1	0	ΔƩΞƱΞƕ	ΔƩΞƱΞƕ
4.0	2	ƜƩʖδƩΞ	ΘƩʖδƩΞ
4.1	4	ʖΦΓƘΦΔ	ʖΦΓƘΦΔ
4.1	6	δΞƩΔƱΨ	δΞƩΔƱΨ
4.1	8	ƕƟΦΞΘ	ƕƟΦΞΘ
4.0	10	ƱΓΓƱƧ	ƱΓδƱƧ
4.1	12	ΞƋƏΔΞƏ	ΞƋƏΔΞƏ
4.0	14	ΞΘΘƏƟ	ΞΘΘƏƏ
5.0	16	<REST>	<REST>
2.1	32	mass|stupid|humor	quantity|dolt|levity
2.1	34	tunic|heap|tame	sandal|rubble|docile
2.0	36	marry|copper|rabbi	agony|foal|pious
2.0	38	petal|stare|freedom	mural|epitaph|valor
2.0	40	haze|heroin|watt	cottage|polio|vanity
2.0	42	odor|sane|frail	loyalty|thistle|tweed
2.1	44	dive|hunger|epitaph	harpoon|glut|wrote
2.1	46	pause|math|beech	brief|calculus|spruce
2.0	48	slit|friar|dowager	future|furnace|axle
2.1	50	bishop|plot|parish	parish|thwart|rector
2.1	52	sleet|gasket|suede	storm|piston|mohair
2.1	54	slope|piston|prosper	incline|gasket|toil
2.1	56	jade|soar|malice	emerald|flutter|scorn
2.0	58	tide|sperm|bravery	parcel|trapeze|lunge
2.0	60	siren|sorrow|frill	blush|ritual|pummel
2.1	62	haul|led|jeer	freight|conquest|simper
5.0	64	<REST>	<REST>
3.0	80	ƜƕΓƘƘ	ƟƋЖδƩ
3.1	82	ϞƟʖƟƱ	ϞƟʖƟƱ
3.1	84	ŒƱƜƋΘ	ŒƱƜƋΘ
3.0	86	ΦƱƕΔΘ	ƋƩƱΦƋ
3.1	88	ƏΘΨδЖ	ƏΘΨδЖ
3.1	90	ΦŒƋʖΘΓ	ΦŒƋʖΘΓ
3.0	92	ΔƧϞΞʖƩ	ЖΔƜƜŒƱ
3.0	94	ΞϞΨƧƟ	ЖΓΦΦƧ
1.1	96	beef	chicken
1.0	98	salt	mountain
1.0	100	water	black
