cond	onset	word1	word2
4.1	0	ΨΞΔΞΦ	ΨΞΔΞΦ
4.1	2	ƘδƘƕƋδ	ƘδƘƕƋδ
4.1	4	ʖΦƧƘЖŒ	ʖΦƧƘЖŒ
4.0	6	ΨΦƱƜƕƩ	ΨΦƕƜƕƩ
4.0	8	ƕΞƜΞŒƏ	ΓΞƜΞŒƏ
4.0	10	ŒΞƟδʖŒ	ŒʖƟδʖŒ
4.1	12	ƕƜδƏƟ	ƕƜδƏƟ
4.0	14	ΘΦΨƕƧƕ	ΘΦƋƕƧƕ
3.1	16	ƜЖƱЖʖЖ	ƜЖƱЖʖЖ
3.1	18	ΔƧƕƕƧ	ΔƧƕƕƧ
3.1	20	ΘƱΦŒʖ	ΘƱΦŒʖ
3.0	22	ƋƩŒЖƱ	ΞƕΔƱδ
3.0	24	ϞƧΔƕΓ	ΘϞƜƋΦ
3.0	26	ƏƟΦƟϞƟ	ƋΔƘδƱδ
3.1	28	ΞϞŒƜΔƧ	ΞϞŒƜΔƧ
3.0	30	ϞΓΘƟƧ	ƧƧƩϞʖ
5.0	32	<REST>	<REST>
2.1	48	urban|spare|friar	rural|mercy|rector
2.1	50	cube|stale|perish	sphere|rancid|slay
2.1	52	sleet|squint|parish	storm|scowl|rector
2.1	54	dive|gist|lunge	harpoon|context|feint
2.0	56	mash|elegant|hybrid	kettle|vigil|levity
2.1	58	bishop|sane|epitaph	parish|madness|wrote
2.0	60	bureau|oath|kale	quake|pollen|incline
2.1	62	bristle|flicker|botany	pore|glare|flora
4.0	64	ƜŒƕΓΦ	ƜŒƕΓƜ
4.0	66	ΘƟδΘƜʖ	ΘƟϞΘƜʖ
4.1	68	δƋƟΞƧƩ	δƋƟΞƧƩ
4.0	70	ΨƕΘƩƜƱ	ΨƋΘƩƜƱ
4.0	72	ƱΞΨΨΔ	ƱΞΨϞΔ
4.0	74	ʖƋΔʖΔ	ʖƋƜʖΔ
4.1	76	ЖΘƱΦƧ	ЖΘƱΦƧ
4.1	78	ΨΓΘƩЖƱ	ΨΓΘƩЖƱ
1.1	80	mail	letter
1.1	82	radio	station
1.0	84	write	paper
1.0	86	animal	cold
1.1	88	hill	mountain
1.0	90	school	bird
1.0	92	village	glass
1.1	94	count	number
5.0	96	<REST>	<REST>
2.1	112	cannon|squeak|raze	mortar|clang|perish
2.1	114	flora|piston|dandruff	pollen|gasket|lice
2.1	116	brute|sash|edict	beast|girdle|decree
2.1	118	roar|spire|humor	shriek|steeple|levity
2.0	120	alias|stale|vague	jewel|depict|gullet
